popularity,budget,revenue,director,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
32.985763,150000000,1513528810,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,2015-06-09,5562,6.5,2015,137999939.280026,1392445892.5238
28.419936,150000000,378436354,George Miller,120,Action|Adventure|Science Fiction|Thriller,2015-05-13,6185,7.1,2015,137999939.280026,348161292.489031
13.112507,110000000,295238201,Robert Schwentke,119,Adventure|Science Fiction|Thriller,2015-03-18,2480,6.3,2015,101199955.472019,271619025.407628
11.173104,200000000,2068178225,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,2015-12-15,5292,7.5,2015,183999919.040035,1902723129.80182
9.335014,190000000,1506249360,James Wan,137,Action|Crime|Thriller,2015-04-01,2947,7.3,2015,174799923.088033,1385748801.47052
9.1107,135000000,532950503,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,2015-12-25,3929,7.2,2015,124199945.352024,490314247.021731
8.654359,155000000,440603537,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,2015-06-23,2598,5.8,2015,142599937.256027,405355075.683766
7.6674,108000000,595380321,Ridley Scott,141,Drama|Adventure|Science Fiction,2015-09-30,4572,7.6,2015,99359956.2816192,547749654.310152
7.40416499999999,74000000,1156730962,Kyle Balda|Pierre Coffin,91,Family|Animation|Adventure|Comedy,2015-06-17,2893,6.5,2015,68079970.0448131,1064192016.79551
6.326804,175000000,853708609,Pete Docter,94,Comedy|Animation|Family,2015-06-09,3935,8.0,2015,160999929.160031,785411574.698907
6.200282,245000000,880674609,Sam Mendes,148,Action|Adventure|Crime,2015-10-26,3254,6.2,2015,225399900.824043,810220283.783075
6.189369,176000003,183987723,Lana Wachowski|Lilly Wachowski,124,Science Fiction|Fantasy|Action|Adventure,2015-02-04,1937,5.2,2015,161919931.51523,169268630.681802
6.118847,15000000,36869414,Alex Garland,108,Drama|Science Fiction,2015-01-21,2854,7.6,2015,13799993.9280026,33919845.9552677
5.984995,88000000,243637091,Chris Columbus,105,Action|Comedy|Science Fiction,2015-07-16,1575,5.8,2015,80959964.3776156,224146025.095748
5.944927,280000000,1405035767,Joss Whedon,141,Action|Adventure|Science Fiction,2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177
5.8984,44000000,155760117,Quentin Tarantino,167,Crime|Drama|Mystery|Western,2015-12-25,2389,7.4,2015,40479982.1888078,143299244.588332
5.749758,48000000,325771424,Olivier Megaton,109,Crime|Action|Thriller,2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785
5.573184,130000000,518602163,Peyton Reed,115,Science Fiction|Action|Adventure,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936
5.556818,95000000,542351353,Kenneth Branagh,112,Romance|Fantasy|Family|Drama,2015-03-12,1495,6.8,2015,87399961.5440169,498963025.216268
5.476958,160000000,650523427,Francis Lawrence,136,War|Adventure|Science Fiction,2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232
5.462138,190000000,209035668,Brad Bird,130,Action|Family|Science Fiction|Adventure|Mystery,2015-05-19,1899,6.2,2015,174799923.088033,192312729.942398
5.337064,30000000,91709827,Antoine Fuqua,123,Action|Drama,2015-06-15,1386,7.3,2015,27599987.8560053,84373003.7158783
4.907832,110000000,470490832,Brad Peyton,114,Action|Drama|Thriller,2015-05-27,2060,6.1,2015,101199955.472019,432851374.985395
4.71040199999999,40000000,569651467,Sam Taylor-Johnson,125,Drama|Romance,2015-02-11,1865,5.3,2015,36799983.8080071,524079119.045187
4.648046,28000000,133346506,Adam McKay,130,Comedy|Drama,2015-12-11,1545,7.3,2015,25759988.6656049,122678731.541358
4.566713,150000000,682330139,Christopher McQuarrie,131,Action,2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881
4.564549,68000000,215863606,Seth MacFarlane,115,Comedy,2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845
4.503789,81000000,403802136,Matthew Vaughn,130,Crime|Comedy|Action|Adventure,2015-01-24,3833,7.6,2015,74519967.2112144,371497801.660967
4.062293,20000000,88346473,Tom McCarthy,128,Drama|Thriller|History,2015-11-06,1559,7.8,2015,18399991.9040035,81278719.3973634
3.968891,61000000,311256926,Wes Ball,132,Action|Science Fiction|Thriller,2015-09-09,1849,6.4,2015,56119975.3072108,286356245.923251
3.927333,0,29355203,Bill Condon,103,Mystery|Drama,2015-06-19,425,6.4,2015,0.0,27006774.877019
3.899557,49000000,102069268,Neill Blomkamp,120,Crime|Action|Science Fiction,2015-03-04,1990,6.6,2015,45079980.1648087,93903685.2423785
3.877764,29000000,287506194,Elizabeth Banks,115,Comedy|Music,2015-05-07,1264,6.8,2015,26679988.2608051,264505582.097543
3.64821,40000000,162610473,Steven Spielberg,141,Thriller|Drama,2015-10-15,1638,7.1,2015,36799983.8080071,149601569.335309
3.644541,58000000,150170815,Rob Letterman,103,Adventure|Horror|Comedy,2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088
3.557846,6000000,35401758,Lenny Abrahamson,117,Drama|Thriller,2015-10-16,1520,8.0,2015,5519997.57120106,32569603.0293746
3.358321,0,22354572,Afonso Poyart,101,Crime|Drama|Mystery,2015-09-03,474,6.2,2015,0.0,20566197.1908732
3.339135,175000000,331926147,Peter Sohn,93,Adventure|Animation|Comedy|Family|Fantasy,2015-11-14,1087,6.6,2015,160999929.160031,305371920.876354
3.23737,50000000,71561644,Jaume Collet-Serra,114,Action|Crime|Drama|Mystery|Thriller,2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592
3.227329,11000000,62076141,John Crowley,111,Drama|Romance,2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891
3.202719,28000000,201634991,F. Gary Gray,147,Drama|Music,2015-08-13,918,7.7,2015,25759988.6656049,185504110.098191
3.080505,90000000,140396650,Breck Eisner,106,Fantasy|Action|Adventure,2015-10-21,879,5.6,2015,82799963.568016,129164861.167461
3.079522,30000000,34441873,Danny Boyle,122,History|Drama,2015-10-09,1035,6.9,2015,27599987.8560053,31686509.2179359
3.053421,75000000,108145109,Guy Ritchie,116,Comedy|Action|Adventure,2015-08-13,1548,7.0,2015,68999969.6400133,99493456.5028791
3.025852,25000000,42629776,Lee Toland Krieger,112,Fantasy|Drama|Romance,2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742
3.023253,10000000,14333790,Ilya Naishuller,97,Action|Adventure|Science Fiction,2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843
2.976436,135000000,368871007,Tim Johnson,94,Fantasy|Comedy|Animation|Science Fiction|Family,2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082
2.968254,12000000,85512300,Jake Schreier,109,Drama|Mystery|Romance,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.3846362
2.93234,30000000,0,Simon West,92,Thriller|Crime|Drama,2015-01-14,481,5.3,2015,27599987.8560053,0.0
2.885126,4000000,9064511,Yorgos Lanthimos,118,Thriller|Comedy|Drama|Romance|Science Fiction,2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756
2.883233,11800000,40272135,Todd Haynes,118,Romance|Drama,2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469
2.814802,35000000,194564672,Nancy Meyers,121,Comedy,2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255
2.798017,55000000,203427584,Baltasar KormÃ¡kur,121,Adventure|Drama,2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255
2.793297,60000000,101134059,David O. Russell,124,Comedy|Drama,2015-12-24,1001,6.4,2015,55199975.7120106,93043293.3409509
2.614499,105000000,133718711,Ericson Core,114,Action|Crime|Thriller,2015-12-03,505,5.5,2015,96599957.4960187,123021159.990689
2.584264,20000000,36606743,John Wells,100,Drama,2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969
2.578919,26000000,30523226,Tarsem Singh,116,Science Fiction|Mystery|Thriller,2015-07-10,719,6.2,2015,23919989.4752046,28081355.5642035
2.575711,60000000,30418560,David Koepp,106,Comedy|Adventure,2015-01-21,696,5.3,2015,55199975.7120106,27985062.8865723
2.557859,15000000,64191523,Tom Hooper,120,Drama,2015-11-27,867,7.3,2015,13799993.9280026,59056175.1752829
2.550747,70000000,17752940,Michael Mann,133,Mystery|Crime|Action|Thriller|Drama,2015-01-13,584,5.0,2015,64399971.6640124,16332697.613613
2.487849,30000000,84025816,Denis Villeneuve,121,Action|Crime|Drama|Mystery|Thriller,2015-09-17,1479,7.1,2015,27599987.8560053,77303716.7063646
2.487042,120000001,167977596,Josh Trank,100,Action|Adventure|Science Fiction,2015-08-05,1565,4.4,2015,110399952.34402,154539320.322699
2.46449,3500000,40423945,Robert Eggers,92,Mystery|Horror,2015-03-24,700,5.8,2015,3219998.58320062,37190013.0363942
2.404473,65000000,235666219,Paul Feig,120,Action|Comedy|Crime,2015-05-06,1840,6.9,2015,59799973.6880115,216812826.082356
